                     mean     sd  hdi_3%  hdi_97%  mcse_mean  mcse_sd  ess_bulk  ess_tail  r_hat
mu_round[265]       0.187  0.190  -0.304    0.432      0.056    0.041      21.0      12.0   1.27
mu_round[266]       0.197  0.139  -0.081    0.413      0.021    0.015      36.0      65.0   1.18
mu_round[267]       0.231  0.124  -0.005    0.454      0.009    0.010      84.0     137.0   1.06
mu_round[268]       0.214  0.125   0.003    0.452      0.006    0.006     223.0     228.0   1.06
mu_round[269]       0.215  0.143  -0.058    0.464      0.022    0.015      39.0      37.0   1.11
mu_round[270]       0.187  0.158  -0.220    0.386      0.038    0.027      30.0      20.0   1.21
mu_round[271]       0.205  0.131  -0.057    0.413      0.020    0.014      42.0      52.0   1.19
mu_round[272]       0.173  0.185  -0.371    0.410      0.053    0.039      26.0      14.0   1.23
mu_round[273]       0.204  0.132  -0.066    0.431      0.018    0.012      44.0      37.0   1.14
mu_round[274]       0.215  0.121   0.005    0.438      0.005    0.004     393.0     175.0   1.05
mu_round[275]       0.206  0.125  -0.037    0.424      0.009    0.006     105.0     105.0   1.09
mu_round[276]       0.190  0.147  -0.156    0.407      0.030    0.021      30.0      33.0   1.20
mu_round[277]       0.182  0.163  -0.273    0.388      0.039    0.028      29.0      32.0   1.22
mu_round[278]       0.198  0.136  -0.029    0.420      0.015    0.010      65.0     119.0   1.11
mu_round[279]       0.180  0.181  -0.338    0.401      0.053    0.039      26.0      17.0   1.24
mu_round[280]       0.186  0.154  -0.096    0.485      0.030    0.022      34.0      21.0   1.19
mu_round[281]       0.223  0.122  -0.025    0.433      0.006    0.005     331.0     115.0   1.10
mu_round[282]       0.199  0.139  -0.073    0.409      0.024    0.017      35.0      32.0   1.16
mu_round[283]       0.208  0.122   0.003    0.445      0.007    0.005     102.0     170.0   1.08
mu_round[284]       0.204  0.125  -0.016    0.429      0.009    0.006     117.0     108.0   1.08
mu_round[285]       0.202  0.049   0.111    0.295      0.002    0.002     402.0    1602.0   1.03
mu_round[286]       0.201  0.126  -0.059    0.377      0.025    0.018      26.0      25.0   1.22
mu_round[287]       0.197  0.129  -0.103    0.377      0.030    0.021      24.0      18.0   1.22
mu_round[288]       0.176  0.173  -0.283    0.394      0.054    0.040      21.0      13.0   1.25
mu_round[289]       0.167  0.171  -0.320    0.380      0.055    0.040      21.0      15.0   1.28
mu_round[290]       0.216  0.106   0.021    0.385      0.004    0.006     528.0     105.0   1.09
mu_round[291]       0.216  0.107   0.048    0.417      0.005    0.006     240.0     160.0   1.09
mu_round[292]       0.222  0.108   0.037    0.429      0.010    0.011      79.0      46.0   1.09
mu_round[293]       0.210  0.102   0.043    0.406      0.003    0.004     695.0     118.0   1.07
mu_round[294]       0.178  0.159  -0.234    0.381      0.047    0.034      24.0      13.0   1.26
mu_round[295]       0.242  0.127   0.069    0.535      0.031    0.029      25.0      23.0   1.24
mu_round[296]       0.243  0.155   0.050    0.646      0.046    0.041      22.0      22.0   1.24
mu_round[297]       0.210  0.104   0.024    0.390      0.004    0.004     328.0     175.0   1.06
mu_round[298]       0.230  0.116   0.043    0.456      0.013    0.015      57.0      47.0   1.11
mu_round[299]       0.214  0.106   0.027    0.397      0.006    0.006     114.0     139.0   1.09
mu_round[300]       0.245  0.158   0.034    0.642      0.039    0.032      22.0      36.0   1.19
mu_round[301]       0.245  0.143   0.019    0.539      0.029    0.023      28.0      48.0   1.16
mu_round[302]       0.180  0.184  -0.287    0.446      0.049    0.035      27.0      16.0   1.22
mu_round[303]       0.212  0.131  -0.038    0.420      0.007    0.007     191.0      93.0   1.12
mu_round[304]       0.243  0.138   0.019    0.535      0.026    0.020      29.0      48.0   1.15
mu_round[305]       0.194  0.154  -0.173    0.403      0.031    0.022      33.0      22.0   1.20
mu_round[306]       0.188  0.171  -0.262    0.421      0.042    0.031      30.0      18.0   1.23
mu_round[307]       0.227  0.127   0.009    0.440      0.006    0.006     337.0     160.0   1.07
mu_round[308]       0.213  0.126   0.005    0.445      0.006    0.006     169.0     263.0   1.07
mu_round[309]       0.260  0.161   0.035    0.659      0.042    0.035      23.0      31.0   1.21
mu_round[310]       0.232  0.127   0.015    0.445      0.012    0.010      46.0     166.0   1.10
mu_round[311]       0.178  0.183  -0.293    0.414      0.047    0.034      27.0      35.0   1.23
mu_round[312]       0.234  0.132  -0.008    0.438      0.008    0.008     195.0     199.0   1.10
mu_round[313]       0.208  0.136  -0.049    0.410      0.016    0.011      51.0      93.0   1.15
mu_round[314]       0.225  0.125   0.007    0.449      0.005    0.007     401.0     155.0   1.08
mu_round[315]       0.178  0.198  -0.355    0.408      0.047    0.034      28.0      26.0   1.25
mu_round[316]       0.220  0.142   0.014    0.460      0.008    0.008     244.0     134.0   1.08
mu_round[317]       0.226  0.147  -0.054    0.416      0.012    0.008      98.0      58.0   1.09
mu_round[318]       0.223  0.137   0.005    0.460      0.007    0.007     294.0     168.0   1.08
mu_round[319]       0.216  0.149  -0.094    0.416      0.012    0.009     168.0      37.0   1.09
mu_round[320]       0.255  0.163  -0.025    0.553      0.037    0.026      24.0      31.0   1.24
mu_round[321]       0.199  0.168  -0.165    0.438      0.035    0.025      28.0      29.0   1.23
mu_round[322]       0.234  0.154  -0.051    0.512      0.025    0.018      35.0      28.0   1.14
mu_round[323]       0.231  0.136  -0.007    0.452      0.007    0.007     665.0     188.0   1.06
mu_round[324]       0.217  0.136   0.015    0.460      0.008    0.007     176.0     216.0   1.09
mu_round[325]       0.192  0.176  -0.221    0.408      0.042    0.030      26.0      20.0   1.22
mu_round[326]       0.217  0.140  -0.028    0.423      0.008    0.007      69.0     142.0   1.10
mu_round[327]       0.214  0.144  -0.050    0.443      0.016    0.011      50.0      54.0   1.14
mu_round[328]       0.205  0.188  -0.224    0.505      0.048    0.034      23.0      16.0   1.22
mu_round[329]       0.214  0.140  -0.005    0.436      0.009    0.008      61.0     167.0   1.12
mu_round[330]       0.194  0.161  -0.221    0.412      0.040    0.029      28.0      22.0   1.20
mu_round[331]       0.204  0.143  -0.107    0.426      0.030    0.021      31.0      32.0   1.21
mu_round[332]       0.225  0.123   0.005    0.426      0.006    0.005     148.0     213.0   1.05
mu_round[333]       0.173  0.198  -0.364    0.446      0.060    0.044      24.0      14.0   1.23
mu_round[334]       0.224  0.123   0.006    0.437      0.006    0.005     272.0     239.0   1.09
mu_round[335]       0.213  0.137  -0.038    0.447      0.021    0.015      36.0      87.0   1.15
mu_round[336]       0.195  0.164  -0.227    0.412      0.042    0.030      27.0      26.0   1.22
mu_round[337]       0.212  0.131  -0.064    0.414      0.011    0.007     192.0      52.0   1.08
mu_round[338]       0.198  0.144  -0.126    0.418      0.027    0.019      34.0      26.0   1.18
mu_round[339]       0.196  0.145  -0.118    0.414      0.026    0.019      31.0      30.0   1.20
mu_round[340]       0.221  0.124   0.001    0.454      0.005    0.005     452.0     134.0   1.05
mu_round[341]       0.211  0.130  -0.024    0.453      0.011    0.008      81.0      98.0   1.10
mu_round[342]       0.179  0.187  -0.330    0.436      0.052    0.037      28.0      19.0   1.25
mu_round[343]       0.230  0.131   0.021    0.465      0.017    0.015      43.0     181.0   1.11
mu_round[344]       0.186  0.165  -0.246    0.398      0.043    0.031      28.0      18.0   1.20
mu_round[345]       0.210  0.054   0.107    0.302      0.011    0.008      26.0     137.0   1.11
mu_round[346]       0.227  0.109   0.066    0.465      0.012    0.012     103.0      28.0   1.16
mu_round[347]       0.216  0.104   0.049    0.421      0.004    0.004     389.0      99.0   1.10
mu_round[348]       0.179  0.165  -0.283    0.393      0.047    0.034      29.0      24.0   1.26
mu_round[349]       0.217  0.114  -0.020    0.407      0.010    0.007     129.0      46.0   1.14
mu_round[350]       0.197  0.122  -0.022    0.389      0.017    0.012      51.0      46.0   1.19
mu_round[351]       0.208  0.112   0.008    0.397      0.009    0.006     137.0      75.0   1.13
mu_round[352]       0.231  0.108   0.053    0.421      0.008    0.010     169.0      75.0   1.13
mu_round[353]       0.168  0.210  -0.375    0.497      0.067    0.049      28.0      12.0   1.27
mu_round[354]       0.200  0.125  -0.110    0.388      0.024    0.017      35.0      20.0   1.24
mu_round[355]       0.249  0.148   0.064    0.641      0.047    0.041      18.0      12.0   1.29
mu_round[356]       0.207  0.113  -0.035    0.383      0.010    0.007     117.0      45.0   1.16
mu_round[357]       0.198  0.122  -0.050    0.375      0.017    0.012      44.0      27.0   1.17
mu_round[358]       0.205  0.114  -0.041    0.388      0.008    0.006      89.0      40.0   1.13
mu_round[359]       0.179  0.160  -0.243    0.390      0.044    0.032      29.0      21.0   1.26
mu_round[360]       0.216  0.140   0.014    0.500      0.028    0.025      28.0      29.0   1.17
mu_round[361]       0.216  0.135  -0.007    0.459      0.024    0.022      33.0      55.0   1.16
mu_round[362]       0.232  0.147  -0.007    0.547      0.036    0.033      23.0      25.0   1.18
mu_round[363]       0.187  0.127  -0.050    0.405      0.007    0.005      72.0     114.0   1.07
mu_round[364]       0.239  0.169   0.029    0.703      0.049    0.044      23.0      21.0   1.21
mu_round[365]       0.199  0.120  -0.008    0.448      0.004    0.004     576.0     382.0   1.05
mu_round[366]       0.214  0.124   0.009    0.468      0.015    0.014      56.0     183.0   1.08
mu_round[367]       0.207  0.124  -0.020    0.439      0.011    0.011     104.0     338.0   1.07
mu_round[368]       0.221  0.137  -0.002    0.493      0.026    0.023      30.0      47.0   1.14
mu_round[369]       0.180  0.141  -0.138    0.442      0.020    0.014      51.0      39.0   1.14
mu_round[370]       0.206  0.125  -0.017    0.437      0.006    0.009     258.0     356.0   1.06
mu_round[371]       0.236  0.165   0.008    0.646      0.047    0.042      21.0      15.0   1.20
mu_round[372]       0.233  0.150   0.019    0.600      0.035    0.031      24.0      18.0   1.17
mu_round[373]       0.213  0.122  -0.014    0.423      0.009    0.010      95.0     275.0   1.06
mu_round[374]       0.221  0.146   0.009    0.563      0.034    0.030      27.0      26.0   1.21
mu_round[375]       0.236  0.179   0.015    0.679      0.049    0.044      20.0      25.0   1.19
mu_round[376]       0.180  0.141  -0.026    0.449      0.011    0.008      86.0      82.0   1.11
mu_round[377]       0.203  0.135  -0.029    0.441      0.010    0.010     157.0     145.0   1.05
mu_round[378]       0.197  0.134  -0.015    0.446      0.009    0.007     239.0     133.0   1.07
mu_round[379]       0.214  0.156   0.006    0.570      0.034    0.033      23.0      22.0   1.17
mu_round[380]       0.216  0.149   0.015    0.526      0.016    0.012      83.0      43.0   1.07
mu_round[381]       0.241  0.187  -0.008    0.707      0.056    0.051      19.0      16.0   1.21
mu_round[382]       0.185  0.140  -0.089    0.416      0.010    0.007     167.0      66.0   1.07
mu_round[383]       0.202  0.135  -0.022    0.436      0.008    0.007     357.0     174.0   1.06
mu_round[384]       0.245  0.195   0.023    0.784      0.060    0.052      19.0      20.0   1.19
mu_round[385]       0.238  0.184  -0.072    0.692      0.047    0.040      21.0      27.0   1.19
mu_round[386]       0.195  0.139  -0.033    0.444      0.009    0.006     250.0     114.0   1.08
mu_round[387]       0.220  0.162  -0.059    0.561      0.035    0.032      26.0      31.0   1.18
mu_round[388]       0.203  0.137  -0.035    0.440      0.008    0.006     292.0      99.0   1.07
mu_round[389]       0.224  0.167  -0.030    0.631      0.039    0.035      22.0      17.0   1.16
mu_round[390]       0.210  0.061   0.098    0.332      0.010    0.007      35.0      41.0   1.08
mu_round[391]       0.217  0.109   0.038    0.410      0.006    0.007     225.0     184.0   1.07
mu_round[392]       0.210  0.126   0.038    0.526      0.015    0.011      57.0      36.0   1.10
mu_round[393]       0.200  0.110  -0.052    0.369      0.013    0.009      48.0      44.0   1.09
mu_round[394]       0.243  0.149   0.018    0.625      0.041    0.036      21.0      23.0   1.24
mu_round[395]       0.210  0.109   0.009    0.396      0.006    0.005     219.0     155.0   1.06
mu_round[396]       0.222  0.108   0.043    0.425      0.011    0.012      66.0     199.0   1.09
mu_round[397]       0.166  0.164  -0.296    0.367      0.050    0.036      22.0      14.0   1.22
mu_round[398]       0.207  0.109   0.018    0.393      0.005    0.004     267.0     166.0   1.05
mu_round[399]       0.213  0.106  -0.009    0.379      0.004    0.005     438.0     169.0   1.06
mu_round[400]       0.205  0.107   0.010    0.389      0.005    0.005     144.0     201.0   1.06
mu_round[401]       0.203  0.105   0.022    0.395      0.005    0.005     265.0     200.0   1.07
mu_round[402]       0.239  0.160   0.056    0.684      0.049    0.042      23.0      17.0   1.23
mu_round[403]       0.204  0.111   0.015    0.395      0.008    0.006     134.0     125.0   1.11
mu_round[404]       0.214  0.105   0.021    0.399      0.006    0.008     152.0     282.0   1.05
mu_round[405]       0.200  0.046   0.109    0.287      0.002    0.002     472.0    1186.0   1.02
mu_round[406]       0.186  0.116  -0.044    0.358      0.018    0.013      35.0      55.0   1.15
mu_round[407]       0.214  0.128   0.008    0.517      0.024    0.021      33.0      42.0   1.21
mu_round[408]       0.216  0.115   0.027    0.442      0.019    0.019      32.0      34.0   1.17
mu_round[409]       0.199  0.114   0.015    0.394      0.009    0.009      71.0     140.0   1.14
mu_round[410]       0.210  0.108   0.032    0.416      0.012    0.013      54.0     137.0   1.15
mu_round[411]       0.188  0.103   0.010    0.381      0.006    0.005     214.0     137.0   1.10
mu_round[412]       0.183  0.123  -0.051    0.375      0.023    0.016      29.0      31.0   1.19
mu_round[413]       0.191  0.110  -0.027    0.364      0.008    0.006      87.0      72.0   1.08
mu_round[414]       0.239  0.177   0.053    0.749      0.056    0.049      24.0      15.0   1.27
mu_round[415]       0.215  0.128   0.028    0.512      0.030    0.030      26.0      20.0   1.24
mu_round[416]       0.227  0.154   0.051    0.651      0.043    0.041      25.0      17.0   1.25
mu_round[417]       0.190  0.105   0.008    0.377      0.005    0.004     166.0     118.0   1.06
mu_round[418]       0.236  0.161   0.051    0.697      0.048    0.043      23.0      20.0   1.26
mu_round[419]       0.193  0.108  -0.008    0.373      0.005    0.005     301.0     138.0   1.09
mu_round[420]       0.160  0.168  -0.233    0.423      0.046    0.034      21.0      16.0   1.21
mu_round[421]       0.174  0.136  -0.092    0.391      0.021    0.015      35.0      70.0   1.11
mu_round[422]       0.196  0.124  -0.034    0.421      0.005    0.004     703.0     114.0   1.05
mu_round[423]       0.182  0.127  -0.042    0.421      0.010    0.007      92.0     194.0   1.06
mu_round[424]       0.197  0.131  -0.023    0.446      0.016    0.015      51.0     102.0   1.12
mu_round[425]       0.151  0.174  -0.290    0.396      0.051    0.037      23.0      19.0   1.20
mu_round[426]       0.185  0.121  -0.013    0.428      0.006    0.005     316.0     121.0   1.04
mu_round[427]       0.187  0.128  -0.027    0.419      0.010    0.007      75.0     122.0   1.07
mu_round[428]       0.153  0.210  -0.412    0.477      0.064    0.046      21.0      24.0   1.22
mu_round[429]       0.161  0.154  -0.196    0.399      0.039    0.028      25.0      21.0   1.19
mu_round[430]       0.200  0.128  -0.058    0.400      0.007    0.007     234.0     147.0   1.06
mu_round[431]       0.188  0.125  -0.022    0.431      0.014    0.010      55.0     113.0   1.07
mu_round[432]       0.157  0.155  -0.147    0.458      0.038    0.028      24.0      22.0   1.20
mu_round[433]       0.173  0.132  -0.078    0.397      0.023    0.017      32.0      57.0   1.13
mu_round[434]       0.196  0.123  -0.031    0.433      0.007    0.008     218.0     161.0   1.07
mu_round[435]       0.215  0.138   0.005    0.498      0.029    0.027      25.0      80.0   1.20
mu_round[436]       0.210  0.132  -0.015    0.462      0.016    0.015      52.0     160.0   1.12
mu_round[437]       0.195  0.122  -0.042    0.418      0.005    0.005     458.0     145.0   1.08
mu_round[438]       0.187  0.129  -0.043    0.415      0.017    0.012      44.0     129.0   1.09
mu_round[439]       0.185  0.128  -0.077    0.408      0.011    0.008     157.0      78.0   1.11
mu_round[440]       0.187  0.133  -0.092    0.396      0.013    0.009      93.0      75.0   1.10
mu_round[441]       0.234  0.169  -0.061    0.624      0.047    0.043      21.0      20.0   1.21
mu_round[442]       0.167  0.142  -0.113    0.414      0.022    0.015      41.0      28.0   1.12
mu_round[443]       0.184  0.138  -0.101    0.423      0.024    0.017      32.0      33.0   1.11
mu_round[444]       0.163  0.146  -0.130    0.406      0.027    0.020      31.0      32.0   1.16
mu_round[445]       0.171  0.144  -0.159    0.377      0.031    0.022      28.0      30.0   1.21
mu_round[446]       0.186  0.127  -0.028    0.425      0.007    0.005     129.0     167.0   1.07
mu_round[447]       0.207  0.131  -0.047    0.448      0.009    0.010     177.0     142.0   1.11
mu_round[448]       0.177  0.137  -0.135    0.402      0.022    0.016      38.0      35.0   1.14
mu_round[449]       0.179  0.134  -0.064    0.408      0.014    0.010      50.0      58.0   1.09
mu_individual[0]    0.119  0.052   0.023    0.216      0.003    0.002     272.0    1247.0   1.02
mu_individual[1]    0.086  0.051  -0.015    0.186      0.001    0.001    2295.0    3383.0   1.06
mu_individual[2]    0.324  0.051   0.230    0.416      0.005    0.004     114.0    1678.0   1.04
mu_individual[3]    0.017  0.049  -0.073    0.111      0.002    0.001     578.0    2212.0   1.01
mu_individual[4]    0.304  0.051   0.211    0.396      0.007    0.005      60.0    2985.0   1.05
mu_individual[5]    0.197  0.052   0.110    0.298      0.003    0.002     253.0      87.0   1.02
mu_individual[6]    0.157  0.052   0.066    0.255      0.002    0.002     461.0      86.0   1.05
mu_individual[7]    0.022  0.051  -0.071    0.113      0.005    0.004      96.0    2120.0   1.03
mu_individual[8]    0.048  0.084  -0.112    0.197      0.004    0.003     376.0    1932.0   1.02
mu_individual[9]    0.019  0.051  -0.079    0.107      0.003    0.003     228.0     616.0   1.04
mu_individual[10]   0.268  0.048   0.174    0.356      0.003    0.002     214.0    1894.0   1.02
mu_individual[11]   0.222  0.050   0.124    0.308      0.002    0.002     426.0    2603.0   1.03
mu_individual[12]   0.255  0.064   0.134    0.368      0.012    0.009      29.0      70.0   1.11
mu_individual[13]   0.859  0.090   0.697    1.017      0.014    0.010      42.0     388.0   1.06
mu_individual[14]   0.178  0.052   0.089    0.280      0.004    0.003     210.0      58.0   1.02
mu_individual[15]   0.174  0.059   0.073    0.280      0.012    0.008      28.0     301.0   1.10
mu_individual[16]   0.402  0.052   0.303    0.494      0.006    0.004      74.0     132.0   1.04
mu_individual[17]   0.113  0.058   0.015    0.216      0.011    0.008      32.0      74.0   1.09
mu_individual[18]   0.018  0.051  -0.078    0.115      0.002    0.002     450.0     846.0   1.01
mu_individual[19]   0.229  0.051   0.131    0.310      0.007    0.005      58.0    1708.0   1.05
mu_individual[20]   0.127  0.058   0.019    0.222      0.010    0.007      39.0     464.0   1.07
mu_individual[21]   0.056  0.049  -0.037    0.148      0.002    0.001     847.0    2030.0   1.02
mu_individual[22]   0.124  0.048   0.028    0.210      0.002    0.001     737.0    3158.0   1.02
mu_individual[23]   0.280  0.048   0.190    0.366      0.003    0.002     231.0    3869.0   1.02
mu_individual[24]   0.367  0.051   0.282    0.469      0.003    0.002     382.0    2308.0   1.07
mu_individual[25]   0.204  0.049   0.104    0.294      0.002    0.001     545.0    3218.0   1.01
mu_individual[26]   0.297  0.052   0.209    0.396      0.004    0.003     212.0      79.0   1.04
mu_individual[27]   0.013  0.046  -0.077    0.100      0.002    0.001     675.0    3883.0   1.02
mu_individual[28]   0.106  0.051   0.005    0.181      0.006    0.004      70.0    2649.0   1.05
mu_individual[29]   0.008  0.048  -0.079    0.101      0.002    0.001     698.0    3379.0   1.02
mu_individual[30]   0.115  0.056  -0.001    0.208      0.007    0.005      76.0      40.0   1.06
mu_individual[31]   0.014  0.050  -0.077    0.107      0.005    0.004      95.0    2833.0   1.03
mu_individual[32]   0.100  0.049   0.002    0.188      0.001    0.001    1717.0    2630.0   1.03
mu_individual[33]   0.104  0.052   0.006    0.195      0.005    0.004     114.0    2430.0   1.04
mu_individual[34]   0.018  0.053  -0.077    0.112      0.006    0.005      71.0    1270.0   1.05
mu_individual[35]   0.166  0.054   0.076    0.271      0.010    0.008      30.0      65.0   1.09
mu_individual[36]   0.140  0.049   0.048    0.234      0.002    0.002     430.0    2526.0   1.02
mu_individual[37]   0.233  0.048   0.140    0.324      0.001    0.001    1301.0    2141.0   1.05
mu_individual[38]   0.652  0.083   0.492    0.804      0.007    0.005     152.0     896.0   1.03
mu_individual[39]   0.221  0.049   0.126    0.313      0.002    0.001     650.0    3736.0   1.02
mu_individual[40]   0.479  0.049   0.383    0.562      0.003    0.002     220.0    3538.0   1.03
mu_individual[41]   0.114  0.051   0.017    0.214      0.002    0.001     836.0     742.0   1.06
mu_individual[42]   0.240  0.050   0.148    0.329      0.006    0.004      85.0    1010.0   1.04
mu_individual[43]   0.542  0.082   0.386    0.698      0.008    0.005     110.0    1582.0   1.03
mu_individual[44]   0.036  0.048  -0.056    0.128      0.002    0.002     518.0    1600.0   1.02
mu_individual[45]   0.047  0.057  -0.059    0.140      0.008    0.006      54.0    2439.0   1.05
mu_individual[46]   0.090  0.051  -0.011    0.175      0.006    0.004      82.0    3411.0   1.04
mu_individual[47]   0.180  0.049   0.082    0.263      0.002    0.002     459.0    2885.0   1.04
mu_individual[48]   0.114  0.053   0.015    0.205      0.010    0.007      33.0     312.0   1.08
mu_individual[49]   0.100  0.053   0.004    0.200      0.004    0.003     237.0     982.0   1.07
mu_individual[50]   0.270  0.052   0.178    0.361      0.009    0.007      39.0     249.0   1.07
mu_individual[51]   0.057  0.055  -0.038    0.151      0.008    0.006      49.0    1226.0   1.06
mu_individual[52]   0.589  0.052   0.490    0.677      0.007    0.005      48.0      95.0   1.06
mu_individual[53]   0.065  0.051  -0.031    0.155      0.006    0.004      83.0    1667.0   1.04
mu_individual[54]   0.245  0.053   0.159    0.343      0.005    0.004     128.0     178.0   1.04
mu_individual[55]   0.285  0.049   0.189    0.373      0.002    0.002     465.0    1920.0   1.02
mu_individual[56]   0.575  0.050   0.478    0.669      0.003    0.002     404.0    1303.0   1.02
mu_individual[57]   0.442  0.053   0.348    0.539      0.008    0.006      41.0     662.0   1.06
mu_individual[58]   0.031  0.052  -0.064    0.126      0.006    0.004      85.0    1457.0   1.04
mu_individual[59]   0.035  0.048  -0.060    0.127      0.001    0.001    2234.0    3657.0   1.03
mu_individual[60]   0.288  0.050   0.196    0.383      0.002    0.001     536.0    2732.0   1.02
mu_individual[61]   0.181  0.051   0.076    0.264      0.004    0.003     152.0    2896.0   1.03
mu_individual[62]   0.070  0.049  -0.017    0.174      0.002    0.002     338.0    3734.0   1.01
mu_individual[63]   0.027  0.054  -0.058    0.140      0.007    0.005      71.0      36.0   1.06
mu_individual[64]   0.384  0.050   0.293    0.478      0.005    0.003     111.0    3537.0   1.03
mu_individual[65]   0.095  0.052   0.009    0.191      0.007    0.005      63.0     187.0   1.05
mu_individual[66]   0.009  0.051  -0.088    0.100      0.006    0.005      67.0    2141.0   1.04
mu_individual[67]   0.761  0.049   0.672    0.859      0.003    0.002     289.0    1765.0   1.02
mu_individual[68]   0.182  0.050   0.086    0.272      0.002    0.002     500.0    2924.0   1.02
mu_individual[69]   0.449  0.052   0.357    0.548      0.003    0.002     354.0    2877.0   1.06
mu_individual[70]   0.043  0.052  -0.056    0.131      0.003    0.002     301.0    3407.0   1.02
mu_individual[71]   0.123  0.049   0.030    0.215      0.002    0.001     899.0    1592.0   1.04
mu_individual[72]   0.134  0.047   0.039    0.222      0.001    0.001    1046.0    1766.0   1.02
mu_individual[73]   0.035  0.050  -0.057    0.128      0.004    0.003     150.0     682.0   1.03
mu_individual[74]   0.053  0.050  -0.034    0.155      0.003    0.002     380.0    2829.0   1.02
mu_individual[75]   0.071  0.056  -0.020    0.196      0.005    0.005     114.0      36.0   1.04
mu_individual[76]   0.506  0.051   0.420    0.606      0.003    0.002     312.0    3299.0   1.02
mu_individual[77]   0.055  0.049  -0.040    0.150      0.001    0.001    1220.0    3082.0   1.02
mu_individual[78]   0.028  0.053  -0.059    0.129      0.006    0.004      86.0    1868.0   1.04
mu_individual[79]   0.248  0.051   0.154    0.338      0.007    0.005      53.0     208.0   1.05
mu_individual[80]   0.229  0.053   0.133    0.329      0.008    0.006      48.0      58.0   1.05
mu_individual[81]   0.138  0.056   0.050    0.250      0.006    0.004      98.0      60.0   1.05
mu_individual[82]   0.185  0.053   0.099    0.290      0.006    0.004      85.0     199.0   1.04
mu_individual[83]   0.232  0.055   0.128    0.333      0.007    0.005      72.0     431.0   1.04
mu_individual[84]   0.100  0.058   0.017    0.244      0.006    0.005     133.0      35.0   1.05
mu_individual[85]   0.097  0.049   0.002    0.186      0.003    0.002     313.0    3125.0   1.03
mu_individual[86]   0.304  0.050   0.203    0.389      0.004    0.003     173.0    2327.0   1.02
mu_individual[87]   0.680  0.050   0.578    0.766      0.002    0.002     514.0    1405.0   1.04
mu_individual[88]   0.041  0.068  -0.067    0.161      0.010    0.007      44.0     445.0   1.07
mu_individual[89]   0.038  0.054  -0.044    0.170      0.005    0.005     152.0      37.0   1.06
mu_individual[90]   0.300  0.052   0.207    0.397      0.004    0.003     212.0    1656.0   1.03
mu_individual[91]   0.608  0.053   0.506    0.702      0.005    0.003     139.0      58.0   1.04
mu_individual[92]   0.010  0.057  -0.093    0.106      0.008    0.006      54.0     369.0   1.06
mu_individual[93]   0.317  0.051   0.226    0.411      0.005    0.004      90.0     789.0   1.04
mu_individual[94]   0.220  0.054   0.129    0.327      0.005    0.004     110.0    2612.0   1.04
mu_individual[95]   0.261  0.052   0.169    0.357      0.004    0.003     190.0      90.0   1.03
mu_individual[96]   0.372  0.051   0.278    0.466      0.006    0.004      72.0    1481.0   1.04
mu_individual[97]   0.344  0.049   0.246    0.435      0.001    0.001    1826.0    1361.0   1.04
mu_individual[98]   0.073  0.051  -0.026    0.167      0.006    0.004      72.0     166.0   1.04
mu_individual[99]   0.158  0.051   0.068    0.252      0.004    0.003     207.0    1945.0   1.03
mu_individual[100]  0.169  0.054   0.075    0.268      0.004    0.003     190.0      74.0   1.03
mu_individual[101]  0.720  0.053   0.631    0.819      0.004    0.003     220.0    4004.0   1.02
mu_individual[102]  0.525  0.052   0.441    0.626      0.006    0.004      70.0     352.0   1.05
mu_individual[103]  0.050  0.058  -0.053    0.159      0.012    0.011      29.0      37.0   1.10
mu_individual[104]  0.179  0.052   0.085    0.265      0.008    0.006      44.0     394.0   1.06
mu_individual[105]  0.264  0.049   0.176    0.363      0.001    0.001    1358.0    1175.0   1.03
mu_individual[106]  0.355  0.052   0.254    0.452      0.003    0.002     235.0     996.0   1.05
mu_individual[107]  0.465  0.049   0.378    0.563      0.003    0.002     283.0    3618.0   1.02
mu_individual[108]  0.095  0.052   0.011    0.197      0.004    0.003     215.0      74.0   1.04
mu_individual[109]  0.110  0.056   0.014    0.206      0.005    0.004     115.0      53.0   1.04
mu_individual[110]  0.204  0.059   0.108    0.321      0.013    0.010      25.0      65.0   1.12
mu_individual[111]  0.143  0.049   0.046    0.234      0.002    0.001     518.0    3061.0   1.03
