                     mean     sd  hdi_3%  hdi_97%  mcse_mean  mcse_sd  ess_bulk  ess_tail  r_hat
mu_round[28]        0.238  0.144  -0.071    0.451      0.030    0.021      25.0      17.0   1.18
mu_round[29]        0.217  0.170  -0.236    0.465      0.045    0.033      24.0      20.0   1.23
mu_round[30]        0.194  0.060   0.075    0.303      0.004    0.003     228.0     875.0   1.03
mu_round[31]        0.220  0.107   0.050    0.452      0.010    0.011     127.0      41.0   1.12
mu_round[32]        0.228  0.112   0.021    0.435      0.016    0.015      39.0     133.0   1.13
mu_round[33]        0.198  0.116   0.007    0.441      0.010    0.007     117.0      58.0   1.12
mu_round[34]        0.237  0.123   0.011    0.479      0.027    0.025      27.0      25.0   1.20
mu_round[35]        0.193  0.124  -0.078    0.404      0.026    0.019      28.0      21.0   1.19
mu_round[36]        0.233  0.119   0.032    0.466      0.019    0.018      41.0      28.0   1.10
mu_round[37]        0.199  0.121  -0.044    0.399      0.021    0.015      31.0      19.0   1.18
mu_round[38]        0.193  0.125  -0.092    0.402      0.024    0.017      32.0      19.0   1.19
mu_round[39]        0.213  0.121  -0.057    0.396      0.013    0.009      93.0      39.0   1.15
mu_round[40]        0.204  0.113  -0.016    0.385      0.016    0.011      37.0      47.0   1.16
mu_round[41]        0.214  0.106   0.008    0.395      0.005    0.005     359.0     173.0   1.06
mu_round[42]        0.213  0.112   0.005    0.395      0.010    0.007     102.0     122.0   1.09
mu_round[43]        0.214  0.102   0.031    0.405      0.002    0.004    1001.0     230.0   1.09
mu_round[44]        0.222  0.106   0.050    0.448      0.006    0.007     245.0      95.0   1.07
mu_round[45]        0.196  0.144  -0.010    0.456      0.009    0.007     320.0     115.0   1.05
mu_round[46]        0.167  0.177  -0.287    0.414      0.035    0.025      35.0      21.0   1.15
mu_round[47]        0.176  0.163  -0.146    0.421      0.029    0.021      36.0      52.0   1.15
mu_round[48]        0.181  0.150  -0.042    0.431      0.013    0.009     117.0      98.0   1.06
mu_round[49]        0.200  0.143  -0.039    0.434      0.010    0.007     268.0      95.0   1.05
mu_round[50]        0.207  0.147  -0.036    0.455      0.009    0.010     158.0     127.0   1.04
