set_id,bc_ratio,information_condition,round_number,population_size,participant_id,seat_id,action,payoff
1026,6,summary_information,3,6,rt112325,3784,defect,0
1026,6,summary_information,3,6,rt856582,7420,defect,0
1026,6,summary_information,3,6,rt817311,8563,defect,0
1026,6,summary_information,3,6,rt468265,9605,defect,0
1026,6,summary_information,4,6,rt917459,2402,defect,6
1026,6,summary_information,4,6,rt188425,3011,defect,6
1026,6,summary_information,4,6,rt112325,3784,defect,12
1026,6,summary_information,4,6,rt856582,7420,cooperate,2
1026,6,summary_information,4,6,rt817311,8563,cooperate,2
1026,6,summary_information,4,6,rt468265,9605,defect,12
1026,6,summary_information,5,6,rt917459,2402,defect,0
1026,6,summary_information,5,6,rt188425,3011,defect,6
1026,6,summary_information,5,6,rt112325,3784,defect,6
1026,6,summary_information,5,6,rt856582,7420,cooperate,-4
1026,6,summary_information,5,6,rt817311,8563,defect,6
1026,6,summary_information,5,6,rt468265,9605,defect,6
1026,6,summary_information,6,6,rt917459,2402,defect,0
1026,6,summary_information,6,6,rt188425,3011,defect,6
1026,6,summary_information,6,6,rt112325,3784,defect,6
1026,6,summary_information,6,6,rt856582,7420,cooperate,-4
1026,6,summary_information,6,6,rt817311,8563,defect,6
1026,6,summary_information,6,6,rt468265,9605,defect,6
1026,6,summary_information,7,6,rt917459,2402,defect,0
1026,6,summary_information,7,6,rt188425,3011,defect,0
1026,6,summary_information,7,6,rt112325,3784,defect,0
1026,6,summary_information,7,6,rt856582,7420,defect,0
1026,6,summary_information,7,6,rt817311,8563,defect,0
1026,6,summary_information,7,6,rt468265,9605,defect,0
1026,6,summary_information,8,6,rt917459,2402,defect,6
1026,6,summary_information,8,6,rt188425,3011,defect,0
1026,6,summary_information,8,6,rt112325,3784,defect,6
1026,6,summary_information,8,6,rt856582,7420,defect,6
1026,6,summary_information,8,6,rt817311,8563,cooperate,-4
1026,6,summary_information,8,6,rt468265,9605,defect,6
1026,6,summary_information,9,6,rt917459,2402,defect,0
1026,6,summary_information,9,6,rt188425,3011,defect,0
1026,6,summary_information,9,6,rt112325,3784,defect,0
1026,6,summary_information,9,6,rt856582,7420,defect,0
1026,6,summary_information,9,6,rt817311,8563,defect,0
1026,6,summary_information,9,6,rt468265,9605,defect,0
1026,6,summary_information,10,6,rt917459,2402,defect,0
1026,6,summary_information,10,6,rt188425,3011,defect,0
1026,6,summary_information,10,6,rt112325,3784,defect,0
1026,6,summary_information,10,6,rt856582,7420,defect,0
1026,6,summary_information,10,6,rt817311,8563,defect,0
1026,6,summary_information,10,6,rt468265,9605,defect,0
1026,6,summary_information,11,6,rt917459,2402,defect,6
1026,6,summary_information,11,6,rt188425,3011,defect,0
1026,6,summary_information,11,6,rt112325,3784,defect,6
1026,6,summary_information,11,6,rt856582,7420,defect,6
1026,6,summary_information,11,6,rt817311,8563,cooperate,-4
1026,6,summary_information,11,6,rt468265,9605,defect,6
1026,6,summary_information,12,6,rt917459,2402,defect,6
1026,6,summary_information,12,6,rt188425,3011,defect,0
1026,6,summary_information,12,6,rt112325,3784,defect,6
1026,6,summary_information,12,6,rt856582,7420,defect,6
1026,6,summary_information,12,6,rt817311,8563,cooperate,-4
1026,6,summary_information,12,6,rt468265,9605,defect,6
1026,6,summary_information,13,6,rt917459,2402,defect,0
1026,6,summary_information,13,6,rt188425,3011,defect,0
1026,6,summary_information,13,6,rt112325,3784,defect,0
1026,6,summary_information,13,6,rt856582,7420,defect,0
1026,6,summary_information,13,6,rt817311,8563,defect,0
1026,6,summary_information,13,6,rt468265,9605,defect,0
1026,6,summary_information,14,6,rt917459,2402,defect,0
1026,6,summary_information,14,6,rt188425,3011,defect,0
1026,6,summary_information,14,6,rt112325,3784,defect,0
1026,6,summary_information,14,6,rt856582,7420,defect,0
1026,6,summary_information,14,6,rt817311,8563,defect,0
1026,6,summary_information,14,6,rt468265,9605,defect,0
1026,6,summary_information,15,6,rt917459,2402,defect,0
1026,6,summary_information,15,6,rt188425,3011,defect,0
1026,6,summary_information,15,6,rt112325,3784,defect,0
1026,6,summary_information,15,6,rt856582,7420,defect,0
1026,6,summary_information,15,6,rt817311,8563,defect,0
1026,6,summary_information,15,6,rt468265,9605,defect,0
1026,6,behavior_only,1,1,rt437676,581,cooperate,20
1026,6,behavior_only,2,1,rt437676,581,cooperate,20
1026,6,behavior_only,3,1,rt437676,581,cooperate,20
1026,6,behavior_only,4,1,rt437676,581,defect,0
1026,6,behavior_only,5,1,rt437676,581,cooperate,20
1026,6,behavior_only,6,1,rt437676,581,cooperate,20
1026,6,behavior_only,7,7,rt917459,300,defect,12
1026,6,behavior_only,7,7,rt437676,581,cooperate,-4
1026,6,behavior_only,7,7,rt188425,727,defect,12
1026,6,behavior_only,7,7,rt856582,777,defect,18
1026,6,behavior_only,7,7,rt112325,2020,cooperate,2
1026,6,behavior_only,7,7,rt817311,4078,cooperate,2
1026,6,behavior_only,7,7,rt468265,7397,defect,18
1026,6,behavior_only,8,7,rt917459,300,defect,6
1026,6,behavior_only,8,7,rt437676,581,cooperate,-4
1026,6,behavior_only,8,7,rt188425,727,defect,12
1026,6,behavior_only,8,7,rt856582,777,defect,12
1026,6,behavior_only,8,7,rt112325,2020,cooperate,-4
1026,6,behavior_only,8,7,rt817311,4078,defect,6
1026,6,behavior_only,8,7,rt468265,7397,defect,12
1026,6,behavior_only,9,7,rt917459,300,defect,0
1026,6,behavior_only,9,7,rt437676,581,defect,0
1026,6,behavior_only,9,7,rt188425,727,defect,6
1026,6,behavior_only,9,7,rt856582,777,defect,6
1026,6,behavior_only,9,7,rt112325,2020,cooperate,-4
1026,6,behavior_only,9,7,rt817311,4078,defect,6
1026,6,behavior_only,9,7,rt468265,7397,defect,6
1026,6,behavior_only,10,7,rt917459,300,defect,12
1026,6,behavior_only,10,7,rt437676,581,cooperate,2
1026,6,behavior_only,10,7,rt188425,727,cooperate,8
1026,6,behavior_only,10,7,rt856582,777,defect,18
1026,6,behavior_only,10,7,rt112325,2020,cooperate,2
1026,6,behavior_only,10,7,rt817311,4078,defect,6
1026,6,behavior_only,10,7,rt468265,7397,defect,12
1026,6,behavior_only,11,7,rt917459,300,defect,6
1026,6,behavior_only,11,7,rt437676,581,cooperate,-4
1026,6,behavior_only,11,7,rt188425,727,defect,12
1026,6,behavior_only,11,7,rt856582,777,defect,12
